Material,Attribute,Object,Name,apple,bottle,bowl,brick,cabinet,ceiling,cement,ceramic,chair,clock,coffee,cup,curtain,desk,dishcloth,door,drawer,extractor,fabric,faucet,floor,flower,food,fruit,glass,handle,jar,kettle,laminate,leather,metal,microwave,mug,outlet,oven,paper,plant,plaster,plastic,plate,pot,refrigerator,rug,shelf,sink,stone,stove,table,trash,tray,wall,water,wax,wheat,window,wine,wood,worktop,other
14,14,5,desk lamp,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
14,14,6,fruit,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5
13,13,2,trash can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3,,,,,,,,,,
13,13,6,clock,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,13,7,bowls,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
13,13,3,door occluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6
13,13,5,soap bottle,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,3
12,11,8,glasses,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
12,12,7,chandelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
12,12,10,bread,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5
12,4,10,knob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1
12,12,4,switches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,3
11,10,4,shelves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1
11,11,7,grapes,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
11,11,6,saucepan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
